number,year,kode,region,municipalities,total,urban,rural,,,
36,2014,7962243400,Республика Адыгея,Кужорское сельское поселение,4149,0,4149,,,
37,2014,7962244700,Республика Адыгея,Победенское сельское поселение,5179,0,5179,,,
38,2014,7962245200,Республика Адыгея,Тимирязевское сельское поселение,3819,0,3819,,,
39,2014,7962245500,Республика Адыгея,Тульское сельское поселение,10893,0,10893,,,
40,2014,7962245700,Республика Адыгея,Каменномостское сельское поселение,7340,0,7340,,,
41,2014,7963000000,Республика Адыгея,Тахтамукайский муниципальный район,73765,47265,26500,,,
42,2014,7963015700,Республика Адыгея,Городское поселение пгт. Энем,21085,18392,2693,,,
43,2014,796301570511000,Республика Адыгея,пгт. Энем,18392,18392,0,,,
44,2014,7963015900,Республика Адыгея,Городское поселение пгт. Яблоновский,31069,28873,2196,,,
45,2014,796301590511000,Республика Адыгея,пгт. Яблоновский,28873,28873,0,,,
46,2014,7963040500,Республика Адыгея,Афипсипское сельское поселение,4891,0,4891,,,
47,2014,7963041700,Республика Адыгея,Козетское сельское поселение,1843,0,1843,,,
48,2014,7963041500,Республика Адыгея,Старобжегокайское сельское поселение,5139,0,5139,,,
49,2014,7963042000,Республика Адыгея,Тахтамукайское сельское поселение,7674,0,7674,,,
50,2014,7963041900,Республика Адыгея,Шенджийское сельское поселение,2064,0,2064,,,
51,2014,7963300000,Республика Адыгея,Теучежский муниципальный район,21106,5639,15467,,,
52,2014,7963315500,Республика Адыгея,Городское поселение пгт. Тлюстенхабль,5999,5639,360,,,
53,2014,796331550511000,Республика Адыгея,пгт. Тлюстенхабль,5639,5639,0,,,
54,2014,7963340500,Республика Адыгея,Ассоколайское сельское поселение,1856,0,1856,,,
55,2014,7963341000,Республика Адыгея,Вочепшийское сельское поселение,1557,0,1557,,,
56,2014,7963341500,Республика Адыгея,Джиджихабльское сельское поселение,1807,0,1807,,,
57,2014,7963343000,Республика Адыгея,Понежукайское сельское поселение,5177,0,5177,,,
58,2014,7963343300,Республика Адыгея,Пчегатлукайское сельское поселение,1865,0,1865,,,
59,2014,7963344500,Республика Адыгея,Габукайское сельское поселение,2845,0,2845,,,
60,2014,7964000000,Республика Адыгея,Шовгеновский муниципальный район,16790,0,16790,,,
61,2014,7964040500,Республика Адыгея,Джерокайское сельское поселение,1602,0,1602,,,
62,2014,7964040800,Республика Адыгея,Дукмасовское сельское поселение,2102,0,2102,,,
63,2014,7964041200,Республика Адыгея,Заревское сельское поселение,2728,0,2728,,,
64,2014,7964043500,Республика Адыгея,Мамхегское сельское поселение,2019,0,2019,,,
65,2014,7964042500,Республика Адыгея,Хатажукайское сельское поселение,4005,0,4005,,,
66,2014,7964043000,Республика Адыгея,Хакуринохабльское сельское поселение,4334,0,4334,,,
67,2014,8400000000,Республика Алтай,Муниципальные образования Республики Алтай,211645,61420,150225,,,
68,2014,8470100000,Республика Алтай,Горно-Алтайский городской округ,61420,61420,0,,,
69,2014,847010000011001,Республика Алтай,г. Горно-Алтайск,61420,61420,0,,,
70,2014,8461000021,Республика Алтай,Кош-Агачский муниципальный район,18599,0,18599,,,
71,2014,8461040521,Республика Алтай,Бельтирское сельское поселение,1313,0,1313,,,
72,2014,8461041021,Республика Алтай,Джазаторское сельское поселение,1402,0,1402,,,
73,2014,8461042021,Республика Алтай,Казахское сельское поселение,870,0,870,,,
74,2014,8461042521,Республика Алтай,Кокоринское сельское поселение,981,0,981,,,
75,2014,8461043021,Республика Алтай,Кош-Агачское сельское поселение,8633,0,8633,,,
76,2014,8461043521,Республика Алтай,Курайское сельское поселение,1276,0,1276,,,
77,2014,8461044521,Республика Алтай,Мухор-Тархатинское сельское поселение,840,0,840,,,
78,2014,8461045521,Республика Алтай,Ортолыкское сельское поселение,660,0,660,,,
79,2014,8461046421,Республика Алтай,Ташантинское сельское поселение,592,0,592,,,
80,2014,8461046521,Республика Алтай,Тобелерское сельское поселение,963,0,963,,,
81,2014,8461047021,Республика Алтай,Теленгит-Сортогойское сельское поселение,625,0,625,,,
82,2014,8461048021,Республика Алтай,Чаган-Узунское сельское поселение,444,0,444,,,
83,2014,8461500000,Республика Алтай,Майминский муниципальный район,30050,0,30050,,,
84,2014,8461540701,Республика Алтай,Бирюлинское сельское поселение,1429,0,1429,,,
85,2014,8461541200,Республика Алтай,Верх-Карагужское сельское поселение,478,0,478,,,
86,2014,8461542501,Республика Алтай,Кызыл-Озекское сельское поселение,6277,0,6277,,,
87,2014,8461543000,Республика Алтай,Майминское сельское поселение,18130,0,18130,,,
88,2014,8461543500,Республика Алтай,Манжерокское сельское поселение,1703,0,1703,,,
89,2014,8461544500,Республика Алтай,Соузгинское сельское поселение,1388,0,1388,,,
90,2014,8461545500,Республика Алтай,Усть-Мунинское сельское поселение,645,0,645,,,
91,2014,8462000000,Республика Алтай,Онгудайский муниципальный район,14505,0,14505,,,
92,2014,8462041000,Республика Алтай,Елинское сельское поселение,1261,0,1261,,,
93,2014,8462042000,Республика Алтай,Ининское сельское поселение,1640,0,1640,,,
94,2014,8462042500,Республика Алтай,Каракольское сельское поселение,1027,0,1027,,,
95,2014,8462043000,Республика Алтай,Куладинское сельское поселение,743,0,743,,,
96,2014,8462043500,Республика Алтай,Купчегенское сельское поселение,812,0,812,,,
97,2014,8462044000,Республика Алтай,Нижне-Талдинское сельское поселение,512,0,512,,,
98,2014,8462044500,Республика Алтай,Онгудайское сельское поселение,5525,0,5525,,,
99,2014,8462045500,Республика Алтай,Теньгинское сельское поселение,1745,0,1745,,,
100,2014,8462046000,Республика Алтай,Хабаровское сельское поселение,526,0,526,,,
101,2014,8462046500,Республика Алтай,Шашикманское сельское поселение,714,0,714,,,
102,2014,8462500001,Республика Алтай,Турочакский муниципальный район,12351,0,12351,,,
103,2014,8462540501,Республика Алтай,Артыбашское сельское поселение,2142,0,2142,,,
104,2014,8462541001,Республика Алтай,Бийкинское сельское поселение,632,0,632,,,
105,2014,8462542001,Республика Алтай,Дмитриевское сельское поселение,779,0,779,,,
106,2014,8462544001,Республика Алтай,Кебезенское сельское поселение,1159,0,1159,,,
107,2014,8462544501,Республика Алтай,Курмач-Байгольское сельское поселение,250,0,250,,,
108,2014,8462545501,Республика Алтай,Майское сельское поселение,157,0,157,,,
109,2014,8462546001,Республика Алтай,Озеро-Куреевское сельское поселение,534,0,534,,,
110,2014,8462547001,Республика Алтай,Тондошенское сельское поселение,907,0,907,,,
111,2014,8462547501,Республика Алтай,Турочакское сельское поселение,5791,0,5791,,,
112,2014,8463000021,Республика Алтай,Улаганский муниципальный район,11308,0,11308,,,
113,2014,8463040521,Республика Алтай,Акташское сельское поселение,2433,0,2433,,,
114,2014,8463041021,Республика Алтай,Балыктуюльское сельское поселение,1682,0,1682,,,
115,2014,8463043021,Республика Алтай,Саратанское сельское поселение,996,0,996,,,
116,2014,8463043521,Республика Алтай,Улаганское сельское поселение,3441,0,3441,,,
117,2014,8463045021,Республика Алтай,Челушманское сельское поселение,1008,0,1008,,,
118,2014,8463044021,Республика Алтай,Чибилинское сельское поселение,658,0,658,,,
119,2014,8463044521,Республика Алтай,Чибитское сельское поселение,1090,0,1090,,,
120,2014,8463500000,Республика Алтай,Усть-Канский муниципальный район,14579,0,14579,,,
121,2014,8463541000,Республика Алтай,Белоануйское сельское поселение,1084,0,1084,,,
122,2014,8463543000,Республика Алтай,Козульское сельское поселение,934,0,934,,,
123,2014,8463543500,Республика Алтай,Коргонское сельское поселение,582,0,582,,,
124,2014,8463544000,Республика Алтай,Кырлыкское сельское поселение,1018,0,1018,,,
125,2014,8463545000,Республика Алтай,Мендур-Сокконское сельское поселение,700,0,700,,,
126,2014,8463546000,Республика Алтай,Талицкое сельское поселение,977,0,977,,,
127,2014,8463546500,Республика Алтай,Усть-Канское сельское поселение,4317,0,4317,,,
128,2014,8463547000,Республика Алтай,Усть-Мутинское сельское поселение,713,0,713,,,
129,2014,8463548000,Республика Алтай,Черноануйское сельское поселение,913,0,913,,,
130,2014,8463548500,Республика Алтай,Ябоганское сельское поселение,1677,0,1677,,,
131,2014,8463548800,Республика Алтай,Яконурское сельское поселение,1664,0,1664,,,
132,2014,8464000000,Республика Алтай,Усть-Коксинский муниципальный район,16794,0,16794,,,
133,2014,8464040500,Республика Алтай,Амурское сельское поселение,1508,0,1508,,,
134,2014,8464041500,Республика Алтай,Верх-Уймонское сельское поселение,2287,0,2287,,,
135,2014,8464042000,Республика Алтай,Горбуновское сельское поселение,1014,0,1014,,,
136,2014,8464044000,Республика Алтай,Карагайское сельское поселение,845,0,845,,,
137,2014,8464044500,Республика Алтай,Катандинское сельское поселение,1480,0,1480,,,
138,2014,8464045500,Республика Алтай,Огневское сельское поселение,1539,0,1539,,,
139,2014,8464046500,Республика Алтай,Талдинское сельское поселение,1281,0,1281,,,
140,2014,8464047500,Республика Алтай,Усть-Коксинское сельское поселение,5480,0,5480,,,
141,2014,8464048500,Республика Алтай,Чендекское сельское поселение,1360,0,1360,,,
142,2014,8464300000,Республика Алтай,Чемальский муниципальный район,9921,0,9921,,,
143,2014,8464340500,Республика Алтай,Аносинское сельское поселение,664,0,664,,,
144,2014,8464341000,Республика Алтай,Бешпельтирское сельское поселение,472,0,472,,,
145,2014,8464344000,Республика Алтай,Куюсское сельское поселение,669,0,669,,,
146,2014,8464344500,Республика Алтай,Узнезинское сельское поселение,874,0,874,,,
147,2014,8464345500,Республика Алтай,Чемальское сельское поселение,4222,0,4222,,,
148,2014,8464346000,Республика Алтай,Чепошское сельское поселение,1142,0,1142,,,
149,2014,8464347000,Республика Алтай,Элекмонарское сельское поселение,1878,0,1878,,,
150,2014,8464500001,Республика Алтай,Чойский муниципальный район,8513,0,8513,,,
151,2014,8464541001,Республика Алтай,Верх-Пьянковское сельское поселение,327,0,327,,,
152,2014,8464543001,Республика Алтай,Каракокшинское сельское поселение,1411,0,1411,,,
153,2014,8464544001,Республика Алтай,Паспаульское сельское поселение,1611,0,1611,,,
154,2014,8464544501,Республика Алтай,Сейкинское сельское поселение,1487,0,1487,,,
155,2014,8464545001,Республика Алтай,Уйменское сельское поселение,387,0,387,,,
156,2014,8464546001,Республика Алтай,Чойское сельское поселение,2546,0,2546,,,
157,2014,8464547001,Республика Алтай,Ыныргинское сельское поселение,744,0,744,,,
158,2014,8465000000,Республика Алтай,Шебалинский муниципальный район,13605,0,13605,,,
159,2014,8465040500,Республика Алтай,Актельское сельское поселение,416,0,416,,,
160,2014,8465041500,Республика Алтай,Барагашское сельское поселение,758,0,758,,,
161,2014,8465042000,Республика Алтай,Беш-Озекское сельское поселение,589,0,589,,,
162,2014,8465043000,Республика Алтай,Верх-Апшуяхтинское сельское поселение,279,0,279,,,
163,2014,8465043500,Республика Алтай,Дъектиекское сельское поселение,1008,0,1008,,,
164,2014,8465044500,Республика Алтай,Ильинское сельское поселение,899,0,899,,,
165,2014,8465045500,Республика Алтай,Камлакское сельское поселение,572,0,572,,,
166,2014,8465045700,Республика Алтай,Каспинское сельское поселение,367,0,367,,,
167,2014,8465046500,Республика Алтай,Малочергинское сельское поселение,428,0,428,,,
168,2014,8465047500,Республика Алтай,Улусчергинское сельское поселение,493,0,493,,,
169,2014,8465049000,Республика Алтай,Чергинское сельское поселение,1974,0,1974,,,
170,2014,8465049200,Республика Алтай,Шебалинское сельское поселение,5295,0,5295,,,
171,2014,8465049400,Республика Алтай,Шыргайтинское сельское поселение,527,0,527,,,
172,2014,8000000000,Республика Башкортостан,Муниципальные образования Республики Башкортостан,4069698,2499944,1569754,,,
173,2014,8070100000,Республика Башкортостан,Городской округ город Уфа,1106635,1096702,9933,,,
174,2014,807010000011000,Республика Башкортостан,г. Уфа,1096702,1096702,0,,,
175,2014,,Республика Башкортостан,внутригородские районы в составе городского округа:,,,,,,
176,2014,807013650011000,Республика Башкортостан,Демский район,70365,70365,0,,,
177,2014,807013700011000,Республика Башкортостан,Калининский район,199883,199883,0,,,
178,2014,807013750011000,Республика Башкортостан,Кировский район,156820,156820,0,,,
179,2014,807013800011000,Республика Башкортостан,Ленинский район,82201,82201,0,,,
180,2014,807013840011000,Республика Башкортостан,Октябрьский район,240708,240708,0,,,
181,2014,807013850011000,Республика Башкортостан,Орджоникидзевский район,168860,168860,0,,,
182,2014,807013900011000,Республика Башкортостан,Советский район,177865,177865,0,,,
183,2014,8070300000,Республика Башкортостан,Городской округ город Агидель,15865,15865,0,,,
184,2014,807030000011000,Республика Башкортостан,г. Агидель,15865,15865,0,,,
185,2014,8072300000,Республика Башкортостан,Городской округ город Кумертау,66159,61943,4216,,,
186,2014,807230000011000,Республика Башкортостан,г. Кумертау,61943,61943,0,,,
187,2014,8070700000,Республика Башкортостан,Городской округ город Межгорье,16450,16450,0,,,
188,2014,807070000011000,Республика Башкортостан,г. Межгорье,16450,16450,0,,,
189,2014,8072700000,Республика Башкортостан,Городской округ город Нефтекамск,135885,124005,11880,,,
190,2014,807270000011000,Республика Башкортостан,г. Нефтекамск,124005,124005,0,,,
191,2014,8073500000,Республика Башкортостан,Городской округ город Октябрьский,112249,112249,0,,,
192,2014,807350000011000,Республика Башкортостан,г. Октябрьский,112249,112249,0,,,
193,2014,8073900000,Республика Башкортостан,Городской округ город Салават,154593,154593,0,,,
194,2014,807390000011000,Республика Башкортостан,г. Салават,154593,154593,0,,,
195,2014,8074300000,Республика Башкортостан,Городской округ город Сибай,63603,62562,1041,,,
196,2014,807430000011000,Республика Башкортостан,г. Сибай,62562,62562,0,,,
197,2014,8074500000,Республика Башкортостан,Городской округ город Стерлитамак,277048,277048,0,,,
198,2014,807450000011000,Республика Башкортостан,г. Стерлитамак,277048,277048,0,,,
199,2014,8060100000,Республика Башкортостан,Абзелиловский муниципальный район,45042,0,45042,,,
200,2014,8060140400,Республика Башкортостан,Сельское поселение Альмухаметовский сельский совет,2970,0,2970,,,
201,2014,8060140700,Республика Башкортостан,Сельское поселение Амангильдинский сельский совет,2245,0,2245,,,
202,2014,8060141000,Республика Башкортостан,Сельское поселение Аскаровский сельский совет,8660,0,8660,,,
203,2014,8060141300,Республика Башкортостан,Сельское поселение Баимовский сельский совет,3729,0,3729,,,
204,2014,8060141600,Республика Башкортостан,Сельское поселение Бурангуловский сельский совет,1349,0,1349,,,
205,2014,8060141900,Республика Башкортостан,Сельское поселение Гусевский сельский совет,2556,0,2556,,,
206,2014,8060142200,Республика Башкортостан,Сельское поселение Давлетовский сельский совет,1851,0,1851,,,
207,2014,8060142500,Республика Башкортостан,Сельское поселение Кирдасовский сельский совет,718,0,718,,,
208,2014,8060142800,Республика Башкортостан,Сельское поселение Краснобашкирский сельский совет,3847,0,3847,,,
209,2014,8060143100,Республика Башкортостан,Сельское поселение Равиловский сельский совет,2393,0,2393,,,
210,2014,8060143400,Республика Башкортостан,Сельское поселение Ташбулатовский сельский совет,3906,0,3906,,,
211,2014,8060143700,Республика Башкортостан,Сельское поселение Таштимеровский сельский совет,3982,0,3982,,,
212,2014,8060144000,Республика Башкортостан,Сельское поселение Халиловский сельский совет,2790,0,2790,,,
213,2014,8060144300,Республика Башкортостан,Сельское поселение Хамитовский сельский совет,847,0,847,,,
214,2014,8060144600,Республика Башкортостан,Сельское поселение Янгильский сельский совет,3199,0,3199,,,
215,2014,8060200000,Республика Башкортостан,Альшеевский муниципальный район,40747,0,40747,,,
216,2014,8060240400,Республика Башкортостан,Сельское поселение Абдрашитовский сельский совет,1349,0,1349,,,
217,2014,8060240600,Республика Башкортостан,Сельское поселение Аксеновский сельский совет,2509,0,2509,,,
218,2014,8060241300,Республика Башкортостан,Сельское поселение Воздвиженский сельский совет,613,0,613,,,
219,2014,8060241600,Республика Башкортостан,Сельское поселение Гайниямакский сельский совет,989,0,989,,,
220,2014,8060241800,Республика Башкортостан,Сельское поселение Зеленоклиновский сельский совет,532,0,532,,,
221,2014,8060241900,Республика Башкортостан,Сельское поселение Ибраевский сельский совет,602,0,602,,,
222,2014,8060242200,Республика Башкортостан,Сельское поселение Казанский сельский совет,841,0,841,,,
223,2014,8060242800,Республика Башкортостан,Сельское поселение Кармышевский сельский совет,1405,0,1405,,,
224,2014,8060243100,Республика Башкортостан,Сельское поселение Кипчак-Аскаровский сельский совет,920,0,920,,,
225,2014,8060243700,Республика Башкортостан,Сельское поселение Кызыльский сельский совет,1043,0,1043,,,
226,2014,8060244000,Республика Башкортостан,Сельское поселение Мендяновский сельский совет,527,0,527,,,
227,2014,8060244300,Республика Башкортостан,Сельское поселение Нигматуллинский сельский совет,851,0,851,,,
228,2014,8060244600,Республика Башкортостан,Сельское поселение Нижнеаврюзовский сельский совет,1052,0,1052,,,
229,2014,8060244900,Республика Башкортостан,Сельское поселение Никифаровский сельский совет,996,0,996,,,
230,2014,8060245100,Республика Башкортостан,Сельское поселение Раевский сельский совет,19874,0,19874,,,
231,2014,8060245500,Республика Башкортостан,Сельское поселение Слаковский сельский совет,890,0,890,,,
232,2014,8060245800,Республика Башкортостан,Сельское поселение Ташлинский сельский совет,574,0,574,,,
233,2014,8060246100,Республика Башкортостан,Сельское поселение Трунтаишевский сельский совет,1108,0,1108,,,
234,2014,8060246400,Республика Башкортостан,Сельское поселение Чебенлинский сельский совет,689,0,689,,,
235,2014,8060247000,Республика Башкортостан,Сельское поселение Шафрановскоий сельский совет,3383,0,3383,,,
236,2014,8060300000,Республика Башкортостан,Архангельский муниципальный район,18019,0,18019,,,
237,2014,8060340400,Республика Башкортостан,Сельское поселение Абзановский сельский совет,997,0,997,,,
238,2014,8060341000,Республика Башкортостан,Сельское поселение Архангельский сельский совет,6043,0,6043,,,
239,2014,8060341300,Республика Башкортостан,Сельское поселение Арх-Латышский сельский совет,1965,0,1965,,,
240,2014,8060341600,Республика Башкортостан,Сельское поселение Бакалдинский сельский совет,1812,0,1812,,,
241,2014,8060341900,Республика Башкортостан,Сельское поселение Инзерский сельский совет,1220,0,1220,,,
242,2014,8060342200,Республика Башкортостан,Сельское поселение Ирныкшинский сельский совет,519,0,519,,,
243,2014,8060342500,Республика Башкортостан,Сельское поселение Краснозилимский сельский совет,1220,0,1220,,,
244,2014,8060342800,Республика Башкортостан,Сельское поселение Краснокуртовский сельский совет,368,0,368,,,
245,2014,8060343400,Республика Башкортостан,Сельское поселение Липовский сельский совет,1328,0,1328,,,
246,2014,8060344000,Республика Башкортостан,Сельское поселение Орловский сельский совет,426,0,426,,,
247,2014,8060344600,Республика Башкортостан,Сельское поселение Тавакачевский сельский совет,982,0,982,,,
248,2014,8060345000,Республика Башкортостан,Сельское поселение Узунларовский сельский совет,1139,0,1139,,,
249,2014,8060400000,Республика Башкортостан,Аскинский муниципальный район,19581,0,19581,,,
250,2014,8060440200,Республика Башкортостан,Сельское поселение Арбашевский сельский совет,381,0,381,,,
251,2014,8060440400,Республика Башкортостан,Сельское поселение Аскинский сельский совет,8003,0,8003,,,
252,2014,8060441300,Республика Башкортостан,Сельское поселение Евбулякский сельский совет,814,0,814,,,
253,2014,8060441600,Республика Башкортостан,Сельское поселение Казанчинский сельский совет,1058,0,1058,,,
254,2014,8060441800,Республика Башкортостан,Сельское поселение Карткисяковский сельский совет,441,0,441,,,
255,2014,8060441900,Республика Башкортостан,Сельское поселение Кашкинский сельский совет,1580,0,1580,,,
256,2014,8060442500,Республика Башкортостан,Сельское поселение Ключевский сельский совет,361,0,361,,,
257,2014,8060442800,Республика Башкортостан,Сельское поселение Кубиязовский сельский совет,1399,0,1399,,,
258,2014,8060443100,Республика Башкортостан,Сельское поселение Кунгаковский сельский совет,597,0,597,,,
259,2014,8060443700,Республика Башкортостан,Сельское поселение Кшлау-Елгинский сельский совет,1101,0,1101,,,
260,2014,8060444000,Республика Башкортостан,Сельское поселение Мутабашевский сельский совет,465,0,465,,,
261,2014,8060444200,Республика Башкортостан,Сельское поселение Петропавловский сельский совет,937,0,937,,,
262,2014,8060444300,Республика Башкортостан,Сельское поселение Султанбековский сельский совет,645,0,645,,,
263,2014,8060444600,Республика Башкортостан,Сельское поселение Урмиязовский сельский совет,1334,0,1334,,,
264,2014,8060445000,Республика Башкортостан,Сельское поселение Усть-Табасский сельский совет,465,0,465,,,
265,2014,8060500000,Республика Башкортостан,Аургазинский муниципальный район,35035,0,35035,,,
266,2014,8060540200,Республика Башкортостан,Сельское поселение Балыклыкульский сельский совет,1190,0,1190,,,
267,2014,8060540400,Республика Башкортостан,Сельское поселение Батыровский сельский совет,2120,0,2120,,,
268,2014,8060540700,Республика Башкортостан,Сельское поселение Бишкаинский сельский совет,1154,0,1154,,,
269,2014,8060541000,Республика Башкортостан,Сельское поселение Ибраевский сельский совет,1280,0,1280,,,
270,2014,8060541300,Республика Башкортостан,Сельское поселение Исмагиловский сельский совет,1105,0,1105,,,
271,2014,8060541600,Республика Башкортостан,Сельское поселение Ишлинский сельский совет,1370,0,1370,,,
272,2014,8060541900,Республика Башкортостан,Сельское поселение Кебячевский сельский совет,709,0,709,,,
273,2014,8060542200,Республика Башкортостан,Сельское поселение Меселинский сельский совет,1311,0,1311,,,
274,2014,8060542500,Республика Башкортостан,Сельское поселение Михайловский сельский совет,1022,0,1022,,,
275,2014,8060542800,Республика Башкортостан,Сельское поселение Нагадакский сельский совет,1549,0,1549,,,
276,2014,8060543100,Республика Башкортостан,Сельское поселение Новокальчировский сельский совет,1428,0,1428,,,
277,2014,8060543400,Республика Башкортостан,Сельское поселение Семенкинский сельский совет,2598,0,2598,,,
278,2014,8060543700,Республика Башкортостан,Сельское поселение Степановский сельский совет,885,0,885,,,
279,2014,8060544000,Республика Башкортостан,Сельское поселение Султанмуратовский сельский совет,816,0,816,,,
280,2014,8060544300,Республика Башкортостан,Сельское поселение Таштамакский сельский совет,966,0,966,,,
281,2014,8060544600,Республика Башкортостан,Сельское поселение Толбазинский сельский совет,10574,0,10574,,,
282,2014,8060544900,Республика Башкортостан,Сельское поселение Тряпинский сельский совет,947,0,947,,,
283,2014,8060545200,Республика Башкортостан,Сельское поселение Тукаевский сельский совет,1353,0,1353,,,
284,2014,8060545800,Республика Башкортостан,Сельское поселение Турумбетовский сельский совет,845,0,845,,,
285,2014,8060546100,Республика Башкортостан,Сельское поселение Уршакский сельский совет,896,0,896,,,
286,2014,8060547200,Республика Башкортостан,Сельское поселение Чуваш-Карамалинский сельский совет,917,0,917,,,
287,2014,8060600000,Республика Башкортостан,Баймакский муниципальный район,57283,17492,39791,,,
288,2014,8060610100,Республика Башкортостан,Городское поселение г. Баймак,17492,17492,0,,,
289,2014,806061010011000,Республика Башкортостан,г. Баймак,17492,17492,0,,,
290,2014,8060640400,Республика Башкортостан,Сельское поселение Абдулкаримовский сельский совет,807,0,807,,,
291,2014,8060640700,Республика Башкортостан,Сельское поселение Акмурунский сельский совет,2952,0,2952,,,
292,2014,8060640900,Республика Башкортостан,Сельское поселение Бекешевский сельский совет,1510,0,1510,,,
293,2014,8060641000,Республика Башкортостан,Сельское поселение Биляловский сельский совет,1799,0,1799,,,
294,2014,8060641300,Республика Башкортостан,Сельское поселение Зилаирский сельский совет,3579,0,3579,,,
295,2014,8060641600,Республика Башкортостан,Сельское поселение Иткуловский 1-й сельский совет,1372,0,1372,,,
296,2014,8060642200,Республика Башкортостан,Сельское поселение Ишмурзинский сельский совет,1013,0,1013,,,
297,2014,8060642500,Республика Башкортостан,Сельское поселение Ишмухаметовский сельский совет,1114,0,1114,,,
298,2014,8060642800,Республика Башкортостан,Сельское поселение Ишбердинский сельский совет,1124,0,1124,,,
299,2014,8060643100,Республика Башкортостан,Сельское поселение Кусеевский сельский совет,902,0,902,,,
300,2014,8060643400,Республика Башкортостан,Сельское поселение Мукасовский сельский совет,2373,0,2373,,,
301,2014,8060643700,Республика Башкортостан,Сельское поселение Кульчуровский сельский совет,1660,0,1660,,,
302,2014,8060643800,Республика Башкортостан,Сельское поселение Мерясовский сельский совет,732,0,732,,,
303,2014,8060644000,Республика Башкортостан,Сельское поселение Нигаматовский сельский совет,2783,0,2783,,,
304,2014,8060644200,Республика Башкортостан,Сельское поселение Семеновский сельский совет,359,0,359,,,
305,2014,8060644300,Республика Башкортостан,Сельское поселение Сибайский сельский совет,3179,0,3179,,,
306,2014,8060644600,Республика Башкортостан,Сельское поселение Тавлыкаевский сельский совет,1837,0,1837,,,
307,2014,8060644900,Республика Башкортостан,Сельское поселение Татлыбаевский сельский совет,1394,0,1394,,,
308,2014,8060645200,Республика Башкортостан,Сельское поселение Темясовский сельский совет,5554,0,5554,,,
309,2014,8060645300,Республика Башкортостан,Сельское поселение Тубинский сельский совет,1195,0,1195,,,
310,2014,8060645500,Республика Башкортостан,Сельское поселение Юмашевский сельский совет,1479,0,1479,,,
311,2014,8060645900,Республика Башкортостан,Сельское поселение Яратовский сельский совет,1074,0,1074,,,
312,2014,8060700000,Республика Башкортостан,Бакалинский муниципальный район,27609,0,27609,,,
